video,mos
UGC0001_720x1280_30_crf_00.mp4,4.6552
UGC0001_720x1280_30_crf_17.mp4,4.3793
UGC0001_720x1280_30_crf_22.mp4,4.5172
UGC0001_720x1280_30_crf_27.mp4,4.1034
UGC0001_720x1280_30_crf_32.mp4,3.4828
UGC0001_720x1280_30_crf_37.mp4,2.5862
UGC0001_720x1280_30_crf_42.mp4,1.4483
UGC0001_720x1280_30_crf_47.mp4,1.0345
UGC0003_720x1280_30_crf_00.mp4,4.5278
UGC0003_720x1280_30_crf_17.mp4,4.6389
UGC0003_720x1280_30_crf_22.mp4,4.4722
UGC0003_720x1280_30_crf_27.mp4,4.1944
UGC0003_720x1280_30_crf_32.mp4,4.0
UGC0003_720x1280_30_crf_37.mp4,2.6667
UGC0003_720x1280_30_crf_42.mp4,1.5556
UGC0003_720x1280_30_crf_47.mp4,1.1389
UGC0004_720x1280_30_crf_00.mp4,4.4412
UGC0004_720x1280_30_crf_17.mp4,4.5
UGC0004_720x1280_30_crf_22.mp4,4.3235
UGC0004_720x1280_30_crf_27.mp4,4.1471
UGC0004_720x1280_30_crf_32.mp4,3.5588
UGC0004_720x1280_30_crf_37.mp4,2.6765
UGC0004_720x1280_30_crf_42.mp4,1.7059
UGC0004_720x1280_30_crf_47.mp4,1.1765
UGC0005_720x1280_30_crf_00.mp4,4.2941
UGC0005_720x1280_30_crf_17.mp4,4.2941
UGC0005_720x1280_30_crf_22.mp4,4.1471
UGC0005_720x1280_30_crf_27.mp4,4.2941
UGC0005_720x1280_30_crf_32.mp4,3.4706
UGC0005_720x1280_30_crf_37.mp4,2.2059
UGC0005_720x1280_30_crf_42.mp4,1.5882
UGC0005_720x1280_30_crf_47.mp4,1.0882
UGC0007_1280x720_30_crf_00.mp4,4.6571
UGC0007_1280x720_30_crf_17.mp4,4.6
UGC0007_1280x720_30_crf_22.mp4,4.6
UGC0007_1280x720_30_crf_27.mp4,4.3429
UGC0007_1280x720_30_crf_32.mp4,3.8
UGC0007_1280x720_30_crf_37.mp4,2.8571
UGC0007_1280x720_30_crf_42.mp4,2.0857
UGC0007_1280x720_30_crf_47.mp4,1.2286
UGC0008_1280x720_30_crf_00.mp4,4.5278
UGC0008_1280x720_30_crf_17.mp4,4.5556
UGC0008_1280x720_30_crf_22.mp4,4.4722
UGC0008_1280x720_30_crf_27.mp4,4.5
UGC0008_1280x720_30_crf_32.mp4,4.1667
UGC0008_1280x720_30_crf_37.mp4,2.9722
UGC0008_1280x720_30_crf_42.mp4,1.8333
UGC0008_1280x720_30_crf_47.mp4,1.0278
UGC0010_720x1280_30_crf_00.mp4,4.2368
UGC0010_720x1280_30_crf_17.mp4,4.1579
UGC0010_720x1280_30_crf_22.mp4,4.1316
UGC0010_720x1280_30_crf_27.mp4,4.1842
UGC0010_720x1280_30_crf_32.mp4,3.7895
UGC0010_720x1280_30_crf_37.mp4,3.0789
UGC0010_720x1280_30_crf_42.mp4,2.0
UGC0010_720x1280_30_crf_47.mp4,1.3158
UGC0011_720x1280_30_crf_00.mp4,4.5806
UGC0011_720x1280_30_crf_17.mp4,4.5484
UGC0011_720x1280_30_crf_22.mp4,4.5806
UGC0011_720x1280_30_crf_27.mp4,4.5161
UGC0011_720x1280_30_crf_32.mp4,4.4194
UGC0011_720x1280_30_crf_37.mp4,3.5806
UGC0011_720x1280_30_crf_42.mp4,2.5484
UGC0011_720x1280_30_crf_47.mp4,1.4516
UGC0012_720x1280_30_crf_00.mp4,4.2571
UGC0012_720x1280_30_crf_17.mp4,4.0857
UGC0012_720x1280_30_crf_22.mp4,4.1143
UGC0012_720x1280_30_crf_27.mp4,3.9429
UGC0012_720x1280_30_crf_32.mp4,3.2571
UGC0012_720x1280_30_crf_37.mp4,2.6286
UGC0012_720x1280_30_crf_42.mp4,1.7714
UGC0012_720x1280_30_crf_47.mp4,1.0286
UGC0013_720x1280_30_crf_00.mp4,4.4516
UGC0013_720x1280_30_crf_17.mp4,4.4839
UGC0013_720x1280_30_crf_22.mp4,4.5161
UGC0013_720x1280_30_crf_27.mp4,4.4194
UGC0013_720x1280_30_crf_32.mp4,3.871
UGC0013_720x1280_30_crf_37.mp4,2.8710000000000004
UGC0013_720x1280_30_crf_42.mp4,2.0
UGC0013_720x1280_30_crf_47.mp4,1.3226
UGC0014_1280x720_30_crf_00.mp4,4.5278
UGC0014_1280x720_30_crf_17.mp4,4.4722
UGC0014_1280x720_30_crf_22.mp4,4.2222
UGC0014_1280x720_30_crf_27.mp4,4.2222
UGC0014_1280x720_30_crf_32.mp4,3.8333
UGC0014_1280x720_30_crf_37.mp4,2.7778
UGC0014_1280x720_30_crf_42.mp4,1.6944
UGC0014_1280x720_30_crf_47.mp4,1.1667
UGC0016_720x1280_30_crf_00.mp4,4.5625
UGC0016_720x1280_30_crf_17.mp4,4.4062
UGC0016_720x1280_30_crf_22.mp4,4.4688
UGC0016_720x1280_30_crf_27.mp4,4.3125
UGC0016_720x1280_30_crf_32.mp4,3.9688
UGC0016_720x1280_30_crf_37.mp4,3.0938
UGC0016_720x1280_30_crf_42.mp4,2.0938
UGC0016_720x1280_30_crf_47.mp4,1.4062
UGC0017_1280x720_30_crf_00.mp4,4.5143
UGC0017_1280x720_30_crf_17.mp4,4.5143
UGC0017_1280x720_30_crf_22.mp4,4.4571
UGC0017_1280x720_30_crf_27.mp4,4.4571
UGC0017_1280x720_30_crf_32.mp4,3.6857
UGC0017_1280x720_30_crf_37.mp4,3.5429
UGC0017_1280x720_30_crf_42.mp4,2.4
UGC0017_1280x720_30_crf_47.mp4,1.4571
UGC0018_1280x720_30_crf_00.mp4,4.5
UGC0018_1280x720_30_crf_17.mp4,4.4706
UGC0018_1280x720_30_crf_22.mp4,4.4118
UGC0018_1280x720_30_crf_27.mp4,4.2941
UGC0018_1280x720_30_crf_32.mp4,3.7059
UGC0018_1280x720_30_crf_37.mp4,2.8529
UGC0018_1280x720_30_crf_42.mp4,1.6471
UGC0018_1280x720_30_crf_47.mp4,1.0882
UGC0019_720x1280_30_crf_00.mp4,4.4359
UGC0019_720x1280_30_crf_17.mp4,4.4615
UGC0019_720x1280_30_crf_22.mp4,4.641
UGC0019_720x1280_30_crf_27.mp4,4.2051
UGC0019_720x1280_30_crf_32.mp4,4.1795
UGC0019_720x1280_30_crf_37.mp4,3.1795
UGC0019_720x1280_30_crf_42.mp4,2.3846
UGC0019_720x1280_30_crf_47.mp4,1.2564
UGC0020_720x1280_30_crf_00.mp4,4.5758
UGC0020_720x1280_30_crf_17.mp4,4.5152
UGC0020_720x1280_30_crf_22.mp4,4.2424
UGC0020_720x1280_30_crf_27.mp4,4.1515
UGC0020_720x1280_30_crf_32.mp4,3.4242
UGC0020_720x1280_30_crf_37.mp4,2.4242
UGC0020_720x1280_30_crf_42.mp4,1.8182
UGC0020_720x1280_30_crf_47.mp4,1.0606
UGC0021_1280x720_30_crf_00.mp4,4.2353
UGC0021_1280x720_30_crf_17.mp4,4.1471
UGC0021_1280x720_30_crf_22.mp4,4.2647
UGC0021_1280x720_30_crf_27.mp4,3.9706
UGC0021_1280x720_30_crf_32.mp4,3.2059
UGC0021_1280x720_30_crf_37.mp4,2.5294
UGC0021_1280x720_30_crf_42.mp4,1.8529
UGC0021_1280x720_30_crf_47.mp4,1.1471
UGC0022_720x1280_30_crf_00.mp4,4.5714
UGC0022_720x1280_30_crf_17.mp4,4.3429
UGC0022_720x1280_30_crf_22.mp4,4.2857
UGC0022_720x1280_30_crf_27.mp4,4.3143
UGC0022_720x1280_30_crf_32.mp4,3.4
UGC0022_720x1280_30_crf_37.mp4,2.5714
UGC0022_720x1280_30_crf_42.mp4,1.8
UGC0022_720x1280_30_crf_47.mp4,1.0571
UGC0023_1280x720_30_crf_00.mp4,4.3636
UGC0023_1280x720_30_crf_17.mp4,4.4545
UGC0023_1280x720_30_crf_22.mp4,4.4848
UGC0023_1280x720_30_crf_27.mp4,4.3636
UGC0023_1280x720_30_crf_32.mp4,4.0606
UGC0023_1280x720_30_crf_37.mp4,3.2121
UGC0023_1280x720_30_crf_42.mp4,2.3333
UGC0023_1280x720_30_crf_47.mp4,1.3939
UGC0024_720x1280_30_crf_00.mp4,4.1111
UGC0024_720x1280_30_crf_17.mp4,4.1389
UGC0024_720x1280_30_crf_22.mp4,4.0833
UGC0024_720x1280_30_crf_27.mp4,3.9722
UGC0024_720x1280_30_crf_32.mp4,3.1667
UGC0024_720x1280_30_crf_37.mp4,2.1389
UGC0024_720x1280_30_crf_42.mp4,1.3333
UGC0024_720x1280_30_crf_47.mp4,1.0556
UGC0025_720x1280_30_crf_00.mp4,4.3333
UGC0025_720x1280_30_crf_17.mp4,4.3056
UGC0025_720x1280_30_crf_22.mp4,4.1667
UGC0025_720x1280_30_crf_27.mp4,3.9444
UGC0025_720x1280_30_crf_32.mp4,3.25
UGC0025_720x1280_30_crf_37.mp4,2.5278
UGC0025_720x1280_30_crf_42.mp4,1.4167
UGC0025_720x1280_30_crf_47.mp4,1.0833
UGC0026_720x1280_30_crf_00.mp4,4.4516
UGC0026_720x1280_30_crf_17.mp4,4.4516
UGC0026_720x1280_30_crf_22.mp4,4.2903
UGC0026_720x1280_30_crf_27.mp4,4.2581
UGC0026_720x1280_30_crf_32.mp4,3.5806
UGC0026_720x1280_30_crf_37.mp4,2.7742
UGC0026_720x1280_30_crf_42.mp4,1.7419
UGC0026_720x1280_30_crf_47.mp4,1.0968
UGC0027_720x1280_30_crf_00.mp4,4.625
UGC0027_720x1280_30_crf_17.mp4,4.525
UGC0027_720x1280_30_crf_22.mp4,4.525
UGC0027_720x1280_30_crf_27.mp4,4.05
UGC0027_720x1280_30_crf_32.mp4,3.225
UGC0027_720x1280_30_crf_37.mp4,2.1
UGC0027_720x1280_30_crf_42.mp4,1.475
UGC0027_720x1280_30_crf_47.mp4,1.0
UGC0029_1280x720_30_crf_00.mp4,4.6154
UGC0029_1280x720_30_crf_17.mp4,4.4615
UGC0029_1280x720_30_crf_22.mp4,4.5385
UGC0029_1280x720_30_crf_27.mp4,4.3846
UGC0029_1280x720_30_crf_32.mp4,4.1282
UGC0029_1280x720_30_crf_37.mp4,3.6667
UGC0029_1280x720_30_crf_42.mp4,2.2821
UGC0029_1280x720_30_crf_47.mp4,1.3077
UGC0030_1280x720_30_crf_00.mp4,4.6774
UGC0030_1280x720_30_crf_17.mp4,4.5484
UGC0030_1280x720_30_crf_22.mp4,4.6129
UGC0030_1280x720_30_crf_27.mp4,4.129
UGC0030_1280x720_30_crf_32.mp4,3.6452
UGC0030_1280x720_30_crf_37.mp4,2.8710000000000004
UGC0030_1280x720_30_crf_42.mp4,1.6452
UGC0030_1280x720_30_crf_47.mp4,1.0323
UGC0033_720x1280_30_crf_00.mp4,4.75
UGC0033_720x1280_30_crf_17.mp4,4.6389
UGC0033_720x1280_30_crf_22.mp4,4.5833
UGC0033_720x1280_30_crf_27.mp4,4.3056
UGC0033_720x1280_30_crf_32.mp4,3.8056
UGC0033_720x1280_30_crf_37.mp4,2.6389
UGC0033_720x1280_30_crf_42.mp4,1.6111
UGC0033_720x1280_30_crf_47.mp4,1.0278
UGC0034_1280x720_30_crf_00.mp4,4.0968
UGC0034_1280x720_30_crf_17.mp4,4.0
UGC0034_1280x720_30_crf_22.mp4,3.8387
UGC0034_1280x720_30_crf_27.mp4,3.7419
UGC0034_1280x720_30_crf_32.mp4,3.5161
UGC0034_1280x720_30_crf_37.mp4,2.9355
UGC0034_1280x720_30_crf_42.mp4,1.7097
UGC0034_1280x720_30_crf_47.mp4,1.0645
UGC0036_720x1280_30_crf_00.mp4,4.4848
UGC0036_720x1280_30_crf_17.mp4,4.4545
UGC0036_720x1280_30_crf_22.mp4,4.303
UGC0036_720x1280_30_crf_27.mp4,4.1515
UGC0036_720x1280_30_crf_32.mp4,3.7576
UGC0036_720x1280_30_crf_37.mp4,2.4545
UGC0036_720x1280_30_crf_42.mp4,1.6667
UGC0036_720x1280_30_crf_47.mp4,1.0303
UGC0037_720x1280_30_crf_00.mp4,4.3939
UGC0037_720x1280_30_crf_17.mp4,4.3333
UGC0037_720x1280_30_crf_22.mp4,4.303
UGC0037_720x1280_30_crf_27.mp4,3.7879
UGC0037_720x1280_30_crf_32.mp4,3.4242
UGC0037_720x1280_30_crf_37.mp4,2.3636
UGC0037_720x1280_30_crf_42.mp4,1.4242
UGC0037_720x1280_30_crf_47.mp4,1.0
UGC0038_720x1280_30_crf_00.mp4,4.5455
UGC0038_720x1280_30_crf_17.mp4,4.4242
UGC0038_720x1280_30_crf_22.mp4,4.4848
UGC0038_720x1280_30_crf_27.mp4,4.3939
UGC0038_720x1280_30_crf_32.mp4,3.9091
UGC0038_720x1280_30_crf_37.mp4,3.0303
UGC0038_720x1280_30_crf_42.mp4,1.7879
UGC0038_720x1280_30_crf_47.mp4,1.3939
UGC0039_720x1280_30_crf_00.mp4,4.4333
UGC0039_720x1280_30_crf_17.mp4,4.3
UGC0039_720x1280_30_crf_22.mp4,4.3333
UGC0039_720x1280_30_crf_27.mp4,4.1667
UGC0039_720x1280_30_crf_32.mp4,3.8333
UGC0039_720x1280_30_crf_37.mp4,3.1
UGC0039_720x1280_30_crf_42.mp4,1.9
UGC0039_720x1280_30_crf_47.mp4,1.2333
UGC0040_1280x720_30_crf_00.mp4,4.7838
UGC0040_1280x720_30_crf_17.mp4,4.6757
UGC0040_1280x720_30_crf_22.mp4,4.6757
UGC0040_1280x720_30_crf_27.mp4,4.4054
UGC0040_1280x720_30_crf_32.mp4,3.9459
UGC0040_1280x720_30_crf_37.mp4,3.027
UGC0040_1280x720_30_crf_42.mp4,2.027
UGC0040_1280x720_30_crf_47.mp4,1.3514
UGC0041_720x1280_30_crf_00.mp4,4.7222
UGC0041_720x1280_30_crf_17.mp4,4.6389
UGC0041_720x1280_30_crf_22.mp4,4.5278
UGC0041_720x1280_30_crf_27.mp4,4.4722
UGC0041_720x1280_30_crf_32.mp4,3.75
UGC0041_720x1280_30_crf_37.mp4,2.6389
UGC0041_720x1280_30_crf_42.mp4,1.7222
UGC0041_720x1280_30_crf_47.mp4,1.0556
UGC0042_720x1280_30_crf_00.mp4,4.2
UGC0042_720x1280_30_crf_17.mp4,4.1429
UGC0042_720x1280_30_crf_22.mp4,4.2857
UGC0042_720x1280_30_crf_27.mp4,4.3143
UGC0042_720x1280_30_crf_32.mp4,4.0571
UGC0042_720x1280_30_crf_37.mp4,3.3429
UGC0042_720x1280_30_crf_42.mp4,2.4571
UGC0042_720x1280_30_crf_47.mp4,1.8571
UGC0043_720x1280_30_crf_00.mp4,4.7143
UGC0043_720x1280_30_crf_17.mp4,4.6
UGC0043_720x1280_30_crf_22.mp4,4.6
UGC0043_720x1280_30_crf_27.mp4,4.3429
UGC0043_720x1280_30_crf_32.mp4,3.8286
UGC0043_720x1280_30_crf_37.mp4,2.7714
UGC0043_720x1280_30_crf_42.mp4,1.7143
UGC0043_720x1280_30_crf_47.mp4,1.2857
UGC0044_720x1280_30_crf_00.mp4,4.0882
UGC0044_720x1280_30_crf_17.mp4,4.2353
UGC0044_720x1280_30_crf_22.mp4,4.1765
UGC0044_720x1280_30_crf_27.mp4,4.0
UGC0044_720x1280_30_crf_32.mp4,3.3235
UGC0044_720x1280_30_crf_37.mp4,2.6765
UGC0044_720x1280_30_crf_42.mp4,1.5882
UGC0044_720x1280_30_crf_47.mp4,1.0882
UGC0045_1280x720_30_crf_00.mp4,4.0588
UGC0045_1280x720_30_crf_17.mp4,4.1471
UGC0045_1280x720_30_crf_22.mp4,3.9706
UGC0045_1280x720_30_crf_27.mp4,3.9118
UGC0045_1280x720_30_crf_32.mp4,3.7059
UGC0045_1280x720_30_crf_37.mp4,2.6176
UGC0045_1280x720_30_crf_42.mp4,1.6765
UGC0045_1280x720_30_crf_47.mp4,1.0882
UGC0047_720x1280_30_crf_00.mp4,4.5526
UGC0047_720x1280_30_crf_17.mp4,4.7105
UGC0047_720x1280_30_crf_22.mp4,4.4737
UGC0047_720x1280_30_crf_27.mp4,4.3158
UGC0047_720x1280_30_crf_32.mp4,3.8158
UGC0047_720x1280_30_crf_37.mp4,2.8421
UGC0047_720x1280_30_crf_42.mp4,1.7105
UGC0047_720x1280_30_crf_47.mp4,1.1316
UGC0048_720x1280_30_crf_00.mp4,4.75
UGC0048_720x1280_30_crf_17.mp4,4.725
UGC0048_720x1280_30_crf_22.mp4,4.675
UGC0048_720x1280_30_crf_27.mp4,4.375
UGC0048_720x1280_30_crf_32.mp4,4.1
UGC0048_720x1280_30_crf_37.mp4,3.2
UGC0048_720x1280_30_crf_42.mp4,2.1
UGC0048_720x1280_30_crf_47.mp4,1.325
UGC0049_720x1280_30_crf_00.mp4,4.3889
UGC0049_720x1280_30_crf_17.mp4,4.3056
UGC0049_720x1280_30_crf_22.mp4,4.3611
UGC0049_720x1280_30_crf_27.mp4,4.0
UGC0049_720x1280_30_crf_32.mp4,3.5556
UGC0049_720x1280_30_crf_37.mp4,2.3611
UGC0049_720x1280_30_crf_42.mp4,1.3889
UGC0049_720x1280_30_crf_47.mp4,1.0556
UGC0050_720x1280_30_crf_00.mp4,4.2
UGC0050_720x1280_30_crf_17.mp4,4.2571
UGC0050_720x1280_30_crf_22.mp4,4.4571
UGC0050_720x1280_30_crf_27.mp4,4.1429
UGC0050_720x1280_30_crf_32.mp4,3.5714
UGC0050_720x1280_30_crf_37.mp4,2.4857
UGC0050_720x1280_30_crf_42.mp4,1.8571
UGC0050_720x1280_30_crf_47.mp4,1.0286
UGC0051_1280x720_30_crf_00.mp4,4.5429
UGC0051_1280x720_30_crf_17.mp4,4.5714
UGC0051_1280x720_30_crf_22.mp4,4.3143
UGC0051_1280x720_30_crf_27.mp4,3.9429
UGC0051_1280x720_30_crf_32.mp4,3.0571
UGC0051_1280x720_30_crf_37.mp4,2.1143
UGC0051_1280x720_30_crf_42.mp4,1.1429
UGC0051_1280x720_30_crf_47.mp4,1.0857
UGC0052_720x1280_30_crf_00.mp4,4.5455
UGC0052_720x1280_30_crf_17.mp4,4.6061
UGC0052_720x1280_30_crf_22.mp4,4.3636
UGC0052_720x1280_30_crf_27.mp4,4.3939
UGC0052_720x1280_30_crf_32.mp4,3.8788
UGC0052_720x1280_30_crf_37.mp4,2.8485
UGC0052_720x1280_30_crf_42.mp4,2.1818
UGC0052_720x1280_30_crf_47.mp4,1.3636
UGC0053_720x1280_30_crf_00.mp4,4.6286
UGC0053_720x1280_30_crf_17.mp4,4.6
UGC0053_720x1280_30_crf_22.mp4,4.4857
UGC0053_720x1280_30_crf_27.mp4,4.3714
UGC0053_720x1280_30_crf_32.mp4,3.6
UGC0053_720x1280_30_crf_37.mp4,2.8286
UGC0053_720x1280_30_crf_42.mp4,1.8571
UGC0053_720x1280_30_crf_47.mp4,1.2857
UGC0054_1280x720_30_crf_00.mp4,4.5294
UGC0054_1280x720_30_crf_17.mp4,4.4706
UGC0054_1280x720_30_crf_22.mp4,4.3824
UGC0054_1280x720_30_crf_27.mp4,4.3529
UGC0054_1280x720_30_crf_32.mp4,3.6765
UGC0054_1280x720_30_crf_37.mp4,2.8824
UGC0054_1280x720_30_crf_42.mp4,2.0294
UGC0054_1280x720_30_crf_47.mp4,1.2059
UGC0057_720x1280_30_crf_00.mp4,4.6774
UGC0057_720x1280_30_crf_17.mp4,4.7097
UGC0057_720x1280_30_crf_22.mp4,4.5806
UGC0057_720x1280_30_crf_27.mp4,4.5806
UGC0057_720x1280_30_crf_32.mp4,4.4194
UGC0057_720x1280_30_crf_37.mp4,3.2581
UGC0057_720x1280_30_crf_42.mp4,2.0968
UGC0057_720x1280_30_crf_47.mp4,1.4516
UGC0058_720x1280_30_crf_00.mp4,4.5152
UGC0058_720x1280_30_crf_17.mp4,4.5152
UGC0058_720x1280_30_crf_22.mp4,4.5152
UGC0058_720x1280_30_crf_27.mp4,4.3636
UGC0058_720x1280_30_crf_32.mp4,3.9091
UGC0058_720x1280_30_crf_37.mp4,2.9091
UGC0058_720x1280_30_crf_42.mp4,2.0303
UGC0058_720x1280_30_crf_47.mp4,1.3636
UGC0059_720x1280_30_crf_00.mp4,4.6471
UGC0059_720x1280_30_crf_17.mp4,4.7353
UGC0059_720x1280_30_crf_22.mp4,4.6176
UGC0059_720x1280_30_crf_27.mp4,4.2647
UGC0059_720x1280_30_crf_32.mp4,3.4412
UGC0059_720x1280_30_crf_37.mp4,2.4118
UGC0059_720x1280_30_crf_42.mp4,1.6471
UGC0059_720x1280_30_crf_47.mp4,1.3235
UGC0060_1280x720_30_crf_00.mp4,4.4571
UGC0060_1280x720_30_crf_17.mp4,4.2857
UGC0060_1280x720_30_crf_22.mp4,4.2571
UGC0060_1280x720_30_crf_27.mp4,4.0571
UGC0060_1280x720_30_crf_32.mp4,3.3714
UGC0060_1280x720_30_crf_37.mp4,2.7143
UGC0060_1280x720_30_crf_42.mp4,1.8286
UGC0060_1280x720_30_crf_47.mp4,1.0857
UGC0062_720x1280_30_crf_00.mp4,4.5882
UGC0062_720x1280_30_crf_17.mp4,4.5294
UGC0062_720x1280_30_crf_22.mp4,4.4118
UGC0062_720x1280_30_crf_27.mp4,4.2353
UGC0062_720x1280_30_crf_32.mp4,3.5882
UGC0062_720x1280_30_crf_37.mp4,2.6471
UGC0062_720x1280_30_crf_42.mp4,1.7647
UGC0062_720x1280_30_crf_47.mp4,1.1765
UGC0063_720x1280_30_crf_00.mp4,4.4545
UGC0063_720x1280_30_crf_17.mp4,4.5455
UGC0063_720x1280_30_crf_22.mp4,4.4242
UGC0063_720x1280_30_crf_27.mp4,4.303
UGC0063_720x1280_30_crf_32.mp4,3.6061
UGC0063_720x1280_30_crf_37.mp4,3.0
UGC0063_720x1280_30_crf_42.mp4,1.8182
UGC0063_720x1280_30_crf_47.mp4,1.0606
UGC0064_1280x720_30_crf_00.mp4,4.4688
UGC0064_1280x720_30_crf_17.mp4,4.5312
UGC0064_1280x720_30_crf_22.mp4,4.5
UGC0064_1280x720_30_crf_27.mp4,4.5
UGC0064_1280x720_30_crf_32.mp4,4.4062
UGC0064_1280x720_30_crf_37.mp4,4.2188
UGC0064_1280x720_30_crf_42.mp4,3.75
UGC0064_1280x720_30_crf_47.mp4,2.6562
UGC0065_1280x720_30_crf_00.mp4,4.6176
UGC0065_1280x720_30_crf_17.mp4,4.5882
UGC0065_1280x720_30_crf_22.mp4,4.6765
UGC0065_1280x720_30_crf_27.mp4,4.5294
UGC0065_1280x720_30_crf_32.mp4,4.0294
UGC0065_1280x720_30_crf_37.mp4,3.0588
UGC0065_1280x720_30_crf_42.mp4,1.9412
UGC0065_1280x720_30_crf_47.mp4,1.2647
UGC0067_720x1280_30_crf_00.mp4,4.3235
UGC0067_720x1280_30_crf_17.mp4,4.4706
UGC0067_720x1280_30_crf_22.mp4,4.4118
UGC0067_720x1280_30_crf_27.mp4,4.3824
UGC0067_720x1280_30_crf_32.mp4,3.6471
UGC0067_720x1280_30_crf_37.mp4,2.7059
UGC0067_720x1280_30_crf_42.mp4,1.7353
