frameCount,SI,TI
1,69.5086,12.9142
2,68.5862,18.2563
3,68.1583,15.6139
4,67.6218,19.1161
5,66.5948,15.4408
6,66.0997,14.311
7,65.8138,10.7321
8,65.4743,16.4985
9,64.1179,9.51869
10,63.9179,15.8233
11,63.0729,11.4034
12,64.7161,21.6329
13,66.6873,15.2397
14,66.9012,18.784
15,66.3321,11.1692
16,66.4112,11.8548
17,66.2764,17.0824
18,66.1258,11.3965
19,66.1604,16.3861
20,66.4935,14.4476
21,66.8022,10.4698
22,67.0959,16.2412
23,67.3113,16.4436
24,69.4091,15.1957
25,69.2895,15.434
26,69.1017,11.1521
27,68.8161,14.6195
28,68.9269,17.4486
29,69.4712,15.4824
30,69.3887,12.474
31,70.4497,20.8553
32,67.7991,15.9256
33,68.2213,11.7521
34,68.2047,19.0409
35,68.2865,9.98253
36,67.1104,11.4947
37,69.1539,9.40131
38,69.3968,9.99826
39,69.716,9.70742
40,69.8249,10.0249
41,69.9973,10.8997
42,70.5726,12.2302
43,70.2541,10.4789
44,70.6015,7.95254
45,71.0604,11.5221
46,70.3175,8.27025
47,70.5264,22.9932
48,70.1928,24.2369
49,72.152,18.2103
50,71.2565,24.885
51,69.6631,17.706
52,69.9502,25.6737
53,68.2357,21.9204
54,67.5448,21.9331
55,68.0201,17.263
56,67.2227,25.6385
57,67.6765,21.2532
58,67.5489,10.6651
59,67.1404,7.68763
60,67.3276,31.035
61,66.5047,26.1459
62,66.1161,21.2841
63,66.3451,37.3075
64,69.058,12.5896
65,69.4259,15.5897
66,71.2016,8.80241
67,71.287,19.371
68,67.949,18.7979
69,70.4283,11.6718
70,69.2504,18.2394
71,67.5145,16.2224
72,67.3245,11.3354
73,67.2045,31.3546
74,69.0897,28.2058
75,68.768,23.9534
76,69.7,36.2595
77,70.441,22.8957
78,70.1072,15.1412
79,70.0731,20.9193
80,69.638,14.5348
81,69.8233,22.1491
82,70.2909,15.3853
83,70.4072,29.5078
84,70.3475,34.0533
85,69.9346,27.6442
86,72.1433,18.4232
87,70.7867,24.8332
88,70.0693,24.1854
89,70.6433,19.066
90,70.6221,21.9222
91,70.8592,16.2402
92,70.853,24.5556
93,70.3012,25.2689
94,69.7347,12.0247
95,69.8108,7.30647
96,69.8689,21.2817
97,69.4198,19.4917
98,69.415,19.7134
99,69.0037,20.5498
100,69.077,16.2769
101,69.3681,26.2124
102,68.5834,21.5682
103,68.9582,21.3589
104,69.4204,21.8059
105,69.7611,16.2571
106,69.94,24.6884
107,69.5462,16.502
108,69.4301,22.2974
109,69.2537,6.19564
110,69.482,14.6674
111,70.0857,14.6702
112,71.7133,21.2259
113,71.8949,18.6625
114,70.559,18.8045
115,70.5339,14.7582
116,70.4498,20.2165
117,70.1568,12.4991
118,70.0713,19.2548
119,69.7493,13.4242
120,69.3746,13.1425
121,69.1104,18.9735
122,66.6115,15.9398
123,65.5343,11.1654
124,64.9539,18.3338
125,64.8003,16.1211
126,64.6785,11.3811
127,64.7233,23.5607
128,64.0144,11.3331
129,64.1397,23.1423
130,63.9355,17.9553
131,64.517,11.6928
132,64.7941,20.9035
133,64.7465,53.2321
134,77.9837,16.4394
135,77.8823,23.1067
136,78.8252,15.2064
137,78.561,23.265
138,77.5241,21.0336
139,77.9565,15.7378
140,77.9868,21.8858
141,78.031,24.5822
142,77.9213,17.4382
143,77.5555,25.9739
144,77.3589,17.9495
145,76.6693,25.0715
146,74.3762,18.1536
147,74.6364,24.0492
148,72.6014,16.9348
149,72.3235,27.5625
150,71.8207,
