frame_type,frame_size,qp_avg
I,74427,24.774444444444445
B,7500,30.929444444444446
B,14504,28.080277777777777
B,7952,30.128611111111113
P,30687,25.104444444444443
B,7426,29.58888888888889
B,13835,27.388055555555557
B,5801,30.219444444444445
P,31833,25.279166666666665
B,6509,30.1575
B,15391,28.26222222222222
B,11384,29.405555555555555
P,51709,24.989444444444445
B,8171,29.47138888888889
B,6622,30.337222222222223
P,29480,25.303055555555556
B,8045,30.105833333333333
B,15707,27.587777777777777
B,7673,29.3475
P,35225,25.419166666666666
B,6318,29.781388888888888
B,18759,27.14611111111111
B,13326,29.120555555555555
P,51263,25.0675
B,7589,30.298055555555557
P,29707,24.939166666666665
B,7218,29.52027777777778
B,9032,29.858333333333334
P,30548,25.450833333333332
B,7266,30.21388888888889
B,17017,28.256944444444443
B,8984,29.8975
P,51601,23.817222222222224
B,6002,30.585833333333333
B,16364,27.246111111111112
B,4803,30.585
B,4282,30.368055555555557
P,66323,22.638055555555557
B,3468,30.42861111111111
B,5676,29.913333333333334
B,3386,31.915277777777778
P,18350,23.730555555555554
B,3413,31.827222222222222
B,6491,29.157222222222224
B,3214,32.25805555555556
B,2884,32.45722222222222
P,12005,28.178055555555556
B,13057,30.302222222222223
B,28068,27.89472222222222
B,10712,30.25583333333333
B,11137,29.98638888888889
P,49580,26.284166666666668
B,16708,28.808055555555555
B,10781,30.26361111111111
P,34741,25.789444444444445
B,9373,29.985833333333332
P,27570,25.98027777777778
B,5746,30.881944444444443
B,24005,26.56833333333333
B,3910,31.974722222222223
P,35255,27.08
B,30097,28.098333333333333
B,15250,30.076944444444443
P,65636,23.82111111111111
B,6104,31.532222222222224
B,9963,28.93138888888889
B,4500,31.099444444444444
P,30959,24.625555555555554
B,5632,30.365833333333335
B,14372,28.50111111111111
B,6594,30.394444444444446
P,22075,25.423333333333332
B,5322,30.071944444444444
B,17813,29.72388888888889
B,27694,27.78361111111111
B,14358,30.17527777777778
B,15807,30.43027777777778
P,53487,25.86277777777778
B,10807,30.74138888888889
B,20067,28.295833333333334
B,10945,30.21527777777778
B,11118,30.160833333333333
P,27035,27.686666666666667
P,26902,27.787777777777777
B,21950,29.288888888888888
B,31881,28.09722222222222
B,18229,29.288055555555555
P,52555,26.25611111111111
B,17586,28.398611111111112
B,13060,29.629166666666666
P,52359,25.77027777777778
B,10645,29.76861111111111
B,22619,28.728055555555557
B,9163,29.345833333333335
P,48660,25.541666666666668
B,6604,28.650555555555556
B,12372,29.72111111111111
P,32190,26.494722222222222
B,14461,29.423055555555557
B,28195,27.557222222222222
B,11407,29.436944444444446
B,15109,29.122777777777777
P,56914,25.79861111111111
B,12045,29.364166666666666
B,21256,27.421388888888888
B,9497,29.461388888888887
P,47314,24.879166666666666
B,10385,29.57138888888889
B,3587,30.839444444444446
B,25618,25.883333333333333
B,8856,30.06
B,11286,29.724722222222223
P,50497,25.114166666666666
B,8857,29.91
B,15605,27.69972222222222
B,7818,29.784444444444443
P,35444,25.211111111111112
B,6984,29.56111111111111
B,14161,27.980833333333333
B,6982,30.22138888888889
P,37289,25.399166666666666
B,9771,29.718055555555555
B,21151,26.767777777777777
B,7132,29.339444444444446
B,9089,29.618333333333332
P,46541,25.083055555555557
B,6105,30.734166666666667
B,14231,27.710277777777776
B,6649,30.5725
P,29281,26.388055555555557
B,11720,29.82611111111111
B,8675,29.369722222222222
P,23413,28.593611111111112
I,92242,22.35861111111111
B,7865,30.77638888888889
B,18977,27.86611111111111
B,8729,30.459444444444443
B,11478,30.142777777777777
P,38920,26.00583333333333
B,8698,30.435277777777777
B,16867,28.529444444444444
B,10240,30.454722222222223
P,33817,26.911666666666665
B,11118,30.21472222222222
B,28112,27.406944444444445
B,16862,30.09027777777778
P,45482,26.978055555555557
B,17059,28.545
B,10283,30.33222222222222
P,24119,29.349444444444444
